TECHNOLOGY,MAX_BUILD,START_YEAR,END_YEAR
TRNMLIXXMRTXX,0,2021,2024
TRNMLIXXNERXX,0,2021,2024
TRNMLIXXSENXX,0,2021,2024
TRNMLTXXTUNXX,0,2021,2024
TRNMMRXXTHAXX,0,2021,2024
TRNMNEXXSRBXX,0,2021,2024
TRNMNGXXRUSSI,0,2021,2024
TRNMOZXXMWIXX,0,2021,2024
TRNMOZXXSWZXX,0,2021,2024
TRNMOZXXTZAXX,0,2021,2024
TRNMOZXXZAFXX,0,2021,2024
TRNMOZXXZMBXX,0,2021,2024
TRNMOZXXZWEXX,0,2021,2024
TRNMRTXXSENXX,0,2021,2024
TRNMWIXXTZAXX,0,2021,2024
TRNMWIXXZMBXX,0,2021,2024
TRNMYSXXPHLXX,0,2021,2024
TRNMYSXXSGPXX,0,2021,2024
TRNMYSXXTHAXX,0,2021,2024
TRNNAMXXZAFXX,0,2021,2024
TRNNAMXXZMBXX,0,2021,2024
TRNNERXXNGAXX,0,2021,2024
TRNNERXXTCDXX,0,2021,2024
TRNNGAXXTCDXX,0,2021,2024
TRNNGAXXTGOXX,0,2021,2024
TRNNLDXXNORXX,0,2021,2024
TRNNORXXRUSNW,0,2021,2024
TRNNORXXSWEXX,0,2021,2024
TRNOMNXXPAKXX,0,2021,2024
TRNOMNXXSAUXX,0,2021,2024
TRNOMNXXYEMXX,0,2021,2024
TRNPAKXXTJKXX,0,2021,2024
TRNPOLXXSVKXX,0,2021,2024
TRNPOLXXSWEXX,0,2021,2024
TRNPOLXXUKRXX,0,2021,2024
TRNPRKXXRUSFE,0,2021,2024
TRNQATXXSAUXX,0,2021,2024
TRNROUXXSRBXX,0,2021,2024
TRNROUXXUKRXX,0,2021,2024
TRNRUSCERUSMV,0,2021,2024
TRNRUSCERUSNW,0,2021,2024
TRNRUSCERUSSO,0,2021,2024
TRNRUSCEUKRXX,0,2021,2024
TRNRUSFERUSSI,0,2021,2024
TRNRUSMVRUSUR,0,2021,2024
TRNRUSNWRUSUR,0,2021,2024
TRNRUSSIRUSUR,0,2021,2024
TRNRUSSOUKRXX,0,2021,2024
TRNRWAXXTZAXX,0,2021,2024
TRNRWAXXUGAXX,0,2021,2024
TRNSAUXXSDNXX,0,2021,2024
TRNSAUXXYEMXX,0,2021,2024
TRNSDNXXSSDXX,0,2021,2024
TRNSDNXXTCDXX,0,2021,2024
TRNSOMXXYEMXX,0,2021,2024
TRNSSDXXUGAXX,0,2021,2024
TRNSVKXXUKRXX,0,2021,2024
TRNSWZXXZAFXX,0,2021,2024
TRNSYRXXTURXX,0,2021,2024
TRNTJKXXUZBXX,0,2021,2024
TRNTKMXXUZBXX,0,2021,2024
TRNTZAXXUGAXX,0,2021,2024
TRNTZAXXZMBXX,0,2021,2024
TRNUSAAZUSACA,0,2021,2024
TRNUSAAZUSAER,0,2021,2024
TRNUSAAZUSANW,0,2021,2024
TRNUSAAZUSARA,0,2021,2024
TRNUSAAZUSASS,0,2021,2024
TRNUSACAUSANW,0,2021,2024
TRNUSAERUSASA,0,2021,2024
TRNUSAERUSASC,0,2021,2024
TRNUSAERUSASS,0,2021,2024
TRNUSAFRUSASE,0,2021,2024
TRNUSAMEUSAMW,0,2021,2024
TRNUSAMEUSARW,0,2021,2024
TRNUSAMWUSANW,0,2021,2024
TRNUSAMWUSARA,0,2021,2024
TRNUSAMWUSARW,0,2021,2024
TRNUSAMWUSASN,0,2021,2024
TRNUSAMWUSASW,0,2021,2024
TRNUSANEUSANY,0,2021,2024
TRNUSANWUSARA,0,2021,2024
TRNUSANYUSARE,0,2021,2024
TRNUSARAUSASN,0,2021,2024
TRNUSARAUSASS,0,2021,2024
TRNUSAREUSARW,0,2021,2024
TRNUSAREUSASE,0,2021,2024
TRNUSAREUSASV,0,2021,2024
TRNUSARWUSASC,0,2021,2024
