FUEL_TYPE,CUSTOM_NODE,CAPACITY,,,
SPV,URYXX,240.21,,,
SPV,USAMR,1938.55,,,
SPV,USANP,52.04,,,
SPV,USARF,347.67,,,
SPV,USASE,867.55,,,
SPV,USATE,770.52,,,
SPV,USAWE,3282.83,,,
SPV,UZBXX,680.52,,,
SPV,VENXX,355.8,,,
SPV,VNMCE,55.27,,,
SPV,VNMNO,39.45,,,
SPV,VNMSO,60.3,,,
SPV,YEMXX,763.64,,,
SPV,ZAFXX,1710.02,,,
SPV,ZMBXX,242.05,,,
SPV,ZWEXX,263.28,,,
WOF,AFGXX,0.00,,,
WOF,AGOXX,62.31,,,
WOF,ALBXX,2.58,,,
WOF,AREXX,63.85,,,
WOF,ARGXX,658.24,,,
WOF,ARMXX,0.00,,,
WOF,AUSXX,2632.65,,,
WOF,AUTXX,0.00,,,
WOF,AZEXX,30.28,,,
WOF,BELXX,1.77,,,
WOF,BENXX,0.77,,,
WOF,BFAXX,0.00,,,
WOF,BGDXX,55.93,,,
WOF,BGRXX,11.27,,,
WOF,BHRXX,0.87,,,
WOF,BIHXX,0.00,,,
WOF,BLRXX,0.00,,,
WOF,BOLXX,0.00,,,
WOF,BRAXX,898.83,,,
WOF,BRNXX,3.24,,,
WOF,BTNXX,0.00,,,
WOF,BWAXX,0.00,,,
WOF,CAFXX,0.00,,,
WOF,CANCE,3501.95,,,
WOF,CANEA,3501.95,,,
WOF,CANNO,3501.95,,,
WOF,CANWE,3501.95,,,
WOF,CHEXX,0.00,,,
WOF,CHLXX,222.21,,,
WOF,CHNCE,0.00,,,
WOF,CHNEA,236.95,,,
WOF,CHNNE,73.28,,,
WOF,CHNNO,274.76,,,
WOF,CHNNW,0.00,,,
WOF,CHNSO,988.38,,,
WOF,CHNSW,0.00,,,
WOF,CIVXX,14.12,,,
WOF,CMRXX,13.32,,,
WOF,CODXX,0.36,,,
WOF,COGXX,7.13,,,
WOF,COLXX,57.44,,,
WOF,CPVXX,4.29,,,
WOF,CRIXX,20.24,,,
WOF,CUBXX,38.80,,,
WOF,CYPXX,0.81,,,
WOF,CZEXX,0.00,,,
WOF,DEUXX,50.48,,,
WOF,DJIXX,0.93,,,
WOF,DNKXX,111.76,,,
WOF,DOMXX,2.38,,,
WOF,DZAXX,8.23,,,
WOF,ECUXX,35.28,,,
WOF,EGYXX,38.05,,,
WOF,ESHXX,75.61,,,
WOF,ESPXX,82.26,,,
WOF,ESTXX,24.38,,,
WOF,ETHXX,0.00,,,
WOF,FINXX,106.10,,,
WOF,FJIXX,212.79,,,
WOF,FRAXX,217.87,,,
WOF,GABXX,47.62,,,
WOF,GBRXX,642.27,,,
WOF,GEOXX,2.90,,,
WOF,GHAXX,18.80,,,
WOF,GINXX,40.58,,,
WOF,GNBXX,15.11,,,
WOF,GNQXX,10.03,,,
WOF,GRCXX,66.96,,,
WOF,GTMXX,9.50,,,
WOF,GUFXX,20.50,,,
WOF,HNDXX,50.25,,,
WOF,HRVXX,43.25,,,
WOF,HUNXX,0.00,,,
WOF,IDNJW,344.45,,,
WOF,IDNKA,364.67,,,
WOF,IDNML,143.94,,,
WOF,IDNNU,14.56,,,
WOF,IDNPP,317.64,,,
WOF,IDNSL,154.68,,,
WOF,IDNSM,949.63,,,
WOF,INDEA,75.58,,,
WOF,INDNE,517.08,,,
WOF,INDNO,0.00,,,
WOF,INDSO,150.42,,,
WOF,INDWE,235.47,,,
WOF,IRLXX,55.32,,,
WOF,IRNXX,165.26,,,
WOF,IRQXX,0.21,,,
WOF,ISLXX,122.87,,,
WOF,ISRXX,3.67,,,
WOF,ITAXX,142.09,,,
WOF,JAMXX,6.46,,,
WOF,JORXX,0.00,,,
WOF,JPNXX,375.86,,,
WOF,KAZXX,127.67,,,
WOF,KENXX,11.87,,,
WOF,KGZXX,0.00,,,
WOF,KHMXX,25.67,,,
WOF,KORXX,146.37,,,
WOF,KWTXX,6.66,,,
WOF,LAOXX,0.00,,,
WOF,LBNXX,0.88,,,
WOF,LBRXX,22.39,,,
WOF,LBYXX,75.63,,,
WOF,LKAXX,25.46,,,
WOF,LSOXX,0.00,,,
WOF,LTUXX,0.32,,,
WOF,LUXXX,0.00,,,
WOF,LVAXX,14.33,,,
WOF,MARXX,83.75,,,
WOF,MDAXX,0.00,,,
WOF,MDGXX,129.06,,,
WOF,MEXXX,486.16,,,
WOF,MKDXX,0.00,,,
WOF,MLIXX,0.00,,,
WOF,MLTXX,0.52,,,
WOF,MMRXX,273.99,,,
WOF,MNEXX,3.02,,,
WOF,MNGXX,0.00,,,
WOF,MOZXX,108.44,,,
WOF,MRTXX,40.66,,,
WOF,MUSXX,27.52,,,
WOF,MWIXX,0.00,,,
WOF,MYSPE,155.38,,,
WOF,MYSSH,45.04,,,
WOF,MYSSK,151.09,,,
