CUSTOM_NODE,FUEL_TYPE,START_YEAR,END_YEAR,CAPACITY,,,,
IDNJW,OCG,2020,2050,791.38,,,,
IDNJW,OCG,1994,2024,10.92,,,,
IDNJW,OCG,2009,2039,33.21,,,,
IDNJW,OCG,1976,2006,40.06,,,,
IDNJW,OCG,1978,2008,29,,,,
IDNJW,OCG,1984,2014,26,,,,
IDNKA,OCG,1998,2028,55.14,,,,
IDNKA,OCG,2016,2046,24.28,,,,
IDNKA,OCG,2017,2047,196.87,,,,
IDNKA,OCG,1985,2015,33.17,,,,
IDNKA,OCG,1989,2019,39.28,,,,
IDNKA,OCG,1997,2027,40.78,,,,
IDNKA,OCG,2002,2032,34.22,,,,
IDNKA,OCG,2003,2033,21.46,,,,
IDNKA,OCG,2004,2034,113.22,,,,
IDNKA,OCG,2009,2039,14.92,,,,
IDNKA,OCG,2010,2040,39.7,,,,
IDNKA,OCG,2012,2042,6.63,,,,
IDNKA,OCG,2013,2043,92.29,,,,
IDNKA,OCG,2020,2050,88.1,,,,
IDNKA,OCG,2019,2049,98.29,,,,
IDNSM,OCG,2018,2048,132.38,,,,
IDNSM,OCG,2020,2050,567.37,,,,
IDNML,OCG,2001,2031,23.76,,,,
IDNML,OCG,2020,2050,123.06,,,,
IDNNU,OCG,2016,2046,64.92,,,,
IDNNU,OCG,2018,2048,64.93,,,,
IDNNU,OCG,2019,2049,268.1,,,,
IDNNU,OCG,2020,2050,76.09,,,,
IDNPP,OCG,2017,2047,71.77,,,,
IDNPP,OCG,2019,2049,149.77,,,,
IDNPP,OCG,2011,2041,42.92,,,,
IDNPP,OCG,2012,2042,5.45,,,,
IDNPP,OCG,2013,2043,57.63,,,,
IDNSM,OCG,1977,2007,95.72,,,,
IDNSM,OCG,1978,2008,58.49,,,,
IDNSM,OCG,1988,2018,354.21,,,,
IDNSM,OCG,1991,2021,20,,,,
IDNSM,OCG,1993,2023,53.12,,,,
IDNSM,OCG,1994,2024,14.53,,,,
IDNSM,OCG,1995,2025,12.29,,,,
IDNSM,OCG,1996,2026,6.71,,,,
IDNSM,OCG,1997,2027,6.71,,,,
IDNSM,OCG,1998,2028,130.29,,,,
IDNSM,OCG,2000,2030,111.75,,,,
IDNSM,OCG,2001,2031,8.94,,,,
IDNSM,OCG,2004,2034,39.24,,,,
IDNSM,OCG,2005,2035,14.16,,,,
IDNSM,OCG,2007,2037,6.33,,,,
IDNSM,OCG,2012,2042,76,,,,
IDNSM,OCG,2014,2044,100.24,,,,
