CUSTOM_NODE,YEAR,VALUE
PHLVI,2047,295.17
PHLVI,2048,320.67
PHLVI,2049,348.85
PHLVI,2050,380.02
PHLMI,2015,44.01
PHLMI,2016,48.94
PHLMI,2017,51.2
PHLMI,2018,54.09
PHLMI,2019,57.42
PHLMI,2020,58.41
PHLMI,2021,65.1
PHLMI,2022,68.7
PHLMI,2023,70.5
PHLMI,2024,75.37
PHLMI,2025,80.63
PHLMI,2026,86.28
PHLMI,2027,92.39
PHLMI,2028,98.95
PHLMI,2029,105.95
PHLMI,2030,113.49
PHLMI,2031,121.46
PHLMI,2032,129.87
PHLMI,2033,138.81
PHLMI,2034,148.26
PHLMI,2035,158.23
PHLMI,2036,168.73
PHLMI,2037,179.74
PHLMI,2038,191.32
PHLMI,2039,204.07
PHLMI,2040,219.61
PHLMI,2041,236.56
PHLMI,2042,255.05
PHLMI,2043,275.25
PHLMI,2044,297.71
PHLMI,2045,322.47
PHLMI,2046,349.74
PHLMI,2047,379.58
PHLMI,2048,412.48
PHLMI,2049,448.84
PHLMI,2050,489.05
MYSEA,2015,45.6
MYSEA,2016,46.77
MYSEA,2017,48.91
MYSEA,2018,49.53
MYSEA,2019,51.49
MYSEA,2020,52.94
MYSEA,2021,49.76
MYSEA,2022,53.74
MYSEA,2023,55.51
MYSEA,2024,57.7
MYSEA,2025,59.51
MYSEA,2026,61.19
MYSEA,2027,63.4
MYSEA,2028,65.29
MYSEA,2029,68.38
MYSEA,2030,71.67
MYSEA,2031,76.2
MYSEA,2032,79.44
MYSEA,2033,83.78
MYSEA,2034,88.67
MYSEA,2035,94.14
MYSEA,2036,100.21
MYSEA,2037,107.02
MYSEA,2038,114.63
MYSEA,2039,123.09
MYSEA,2040,132.51
MYSEA,2041,143.04
MYSEA,2042,154.82
MYSEA,2043,167.99
MYSEA,2044,182.72
MYSEA,2045,199.25
MYSEA,2046,217.77
MYSEA,2047,238.56
MYSEA,2048,261.9
MYSEA,2049,288.13
MYSEA,2050,317.63
MYSNO,2015,83.26
MYSNO,2016,86.55
MYSNO,2017,89.4
MYSNO,2018,92.36
MYSNO,2019,96.03
MYSNO,2020,101.54
MYSNO,2021,98.04
MYSNO,2022,106.74
MYSNO,2023,109.99
MYSNO,2024,116.03
MYSNO,2025,121.53
MYSNO,2026,126.05
MYSNO,2027,131.51
MYSNO,2028,136.12
MYSNO,2029,143.43
MYSNO,2030,151.91
MYSNO,2031,163.26
MYSNO,2032,171.22
MYSNO,2033,181.65
MYSNO,2034,193.59
MYSNO,2035,206.94
MYSNO,2036,221.8
MYSNO,2037,238.38
MYSNO,2038,256.8
MYSNO,2039,277.31
MYSNO,2040,300.25
MYSNO,2041,325.87
MYSNO,2042,354.51
MYSNO,2043,386.57
MYSNO,2044,422.42
MYSNO,2045,462.74
MYSNO,2046,507.98
MYSNO,2047,558.81
MYSNO,2048,615.93
MYSNO,2049,680.2
MYSNO,2050,752.59
MYSCE,2015,235.15
