NAME,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
TUR_Hyd_MenzeletDam18198,10.3,9.1,9.3,11.6,16.7,16.8,15.6,16.1,39.6,39.6,39.6,39.6
TUR_Hyd_MuratlDam18199,24.9,37.2,38.1,38.1,38.1,38.1,25.3,18.8,14.0,19.8,30.9,29.7
TUR_Hyd_ObrukDam18201,3.1,9.9,30.0,30.0,30.0,30.0,23.2,17.2,22.9,16.9,19.7,4.5
TUR_Hyd_OymapinarDam18204,12.8,13.6,30.0,30.0,30.0,13.5,9.4,12.4,14.2,21.0,30.0,17.2
TUR_Hyd_SaryarDam18209,30.0,30.0,30.0,17.3,17.4,12.8,5.9,4.1,9.4,7.5,21.8,30.0
TUR_Hyd_Sir18211,26.5,30.0,30.0,30.0,16.7,13.4,9.7,14.0,14.9,20.6,30.0,29.7
TUR_Hyd_zlceDam18226,30.0,30.0,30.0,12.7,6.7,3.8,3.1,3.1,3.4,5.5,20.5,30.0
TWN_Hyd_Chuying17880,23.5,23.5,22.5,10.0,5.1,4.3,3.8,5.7,13.3,21.8,23.5,23.5
TWN_Hyd_DaguanErchang17881,27.7,27.7,27.7,6.3,4.0,3.0,2.9,3.0,3.3,4.0,5.4,27.7
TWN_Hyd_Houli17886,27.7,27.7,27.7,15.3,14.4,12.7,8.6,15.6,18.9,22.0,20.1,27.7
TWN_Hyd_MingHu17898,8.1,10.8,19.3,33.9,34.6,33.9,29.3,24.4,25.9,24.9,21.0,10.7
TWN_Hyd_MingTan17899,24.8,24.8,10.8,12.6,10.1,5.4,3.0,2.6,4.0,13.2,24.8,24.8
TWN_Hyd_Shuili17903,12.9,15.3,26.2,42.4,42.4,42.4,36.5,35.7,42.4,41.7,25.6,13.3
TWN_Hyd_Shuilian17904,12.4,31.0,45.0,45.0,45.0,45.0,23.8,34.9,20.1,17.5,12.0,6.9
TWN_Hyd_Tachiachi17906,4.9,8.1,13.3,13.8,28.8,43.6,45.0,45.0,45.0,45.0,13.0,5.4
TWN_Hyd_Yuanshan17911,5.1,12.3,33.1,36.7,35.9,41.8,45.0,45.0,45.0,45.0,12.0,4.9
TZA_Hyd_Hale17922,8.6,8.5,9.1,14.2,34.3,66.4,66.4,66.4,66.4,31.5,10.5,8.9
TZA_Hyd_Kidatu17924,10.0,10.5,11.6,21.0,40.8,75.8,75.8,75.8,49.3,75.8,57.3,15.1
TZA_Hyd_Kihansi17925,49.9,49.9,24.2,32.4,26.7,12.0,6.4,5.1,8.5,29.9,49.9,49.9
TZA_Hyd_Mtera17926,11.5,18.5,28.0,27.9,50.7,60.4,75.8,75.8,75.8,75.8,26.4,11.8
TZA_Hyd_NyumbayaMungu17929,67.2,64.7,75.8,75.8,75.8,75.8,59.3,56.8,56.8,62.8,68.1,67.8
TZA_Hyd_PanganiFalls17930,70.3,75.8,66.9,64.7,64.7,62.3,57.8,59.3,54.5,65.9,63.5,70.3
UGA_Hyd_Bugoye18242,28.2,28.3,30.8,39.5,66.2,66.2,66.2,56.7,48.7,66.2,43.1,32.7
UGA_Hyd_BujagaliFalls18243,62.1,66.2,59.4,57.6,57.6,55.8,52.1,53.0,49.6,58.5,56.8,62.1
UGA_Hyd_Capacity Scaler,33.1,32.5,34.3,37.8,47.5,63.7,66.2,66.2,55.9,66.2,66.2,51.2
UGA_Hyd_IshashaRiver18244,50.3,49.8,66.2,66.2,66.2,54.3,49.6,52.1,55.7,63.8,66.2,55.5
UGA_Hyd_Kiira18246,66.2,66.2,66.2,58.6,58.0,55.2,51.2,50.0,51.2,49.6,58.2,66.2
UGA_Hyd_Mubuku318248,49.6,49.9,56.9,65.5,66.2,60.8,56.8,54.7,58.7,64.1,62.5,51.8
UGA_Hyd_Narubale18249,29.4,29.2,29.2,29.5,39.8,66.2,66.2,66.2,66.2,53.0,33.4,30.2
UKR_Hyd_Capacity Scaler,1.2,1.2,1.2,1.2,1.8,10.9,10.9,10.9,10.9,6.0,1.7,1.4
UKR_Hyd_DneiproHPP218254,1.2,1.2,1.2,1.2,1.7,10.9,10.9,10.9,10.9,5.3,2.9,1.5
