REGION,TECHNOLOGY,VALUE
GLOBAL,PWRPETAUSSA01,30
GLOBAL,PWRCOACHNGX01,30
GLOBAL,PWRSPVMKDXX01,30
GLOBAL,PWRWONDEUXX01,30
GLOBAL,PWROCGCHNHK00,30
GLOBAL,PWRCOAIDNXX01,30
GLOBAL,PWRWAVINDSO01,20
GLOBAL,PWRBIOFRAXX01,45
GLOBAL,PWRCCGBRAWE00,30
GLOBAL,PWRHYDBRASO01,100
GLOBAL,PWROILJAMXX01,30
GLOBAL,PWRCSPUSAER01,30
GLOBAL,PWRCOAHUNXX01,30
GLOBAL,PWRGEOTJKXX01,30
GLOBAL,PWRWOFLBNXX01,30
GLOBAL,PWROCGINDNE00,30
GLOBAL,PWRCCGCHNHE00,30
GLOBAL,PWROTHESPXX01,30
GLOBAL,PWROTHSGPXX01,30
GLOBAL,PWROCGMARXX00,30
GLOBAL,PWROILNICXX01,30
GLOBAL,PWRWASSWEXX01,30
GLOBAL,PWRGEOLUXXX01,30
GLOBAL,PWRWONBRANE01,30
GLOBAL,PWRCOACZEXX01,30
GLOBAL,PWROCGRUSSI01,30
GLOBAL,PWRGEOHTIXX01,30
GLOBAL,PWROILUSAGU01,30
GLOBAL,PWRWAVLUXXX01,20
GLOBAL,PWRURNUSARE01,60
GLOBAL,PWRGEOUSAAZ01,30
GLOBAL,PWROCGJAMXX01,30
GLOBAL,PWROCGDEUXX00,30
GLOBAL,PWRCCGLSOXX01,30
GLOBAL,PWRWAVDZAXX01,20
GLOBAL,PWRCCGCHNSX01,30
GLOBAL,PWRWOFCZEXX01,30
GLOBAL,PWRCOAUSASS01,30
GLOBAL,PWRGEOTGOXX01,30
GLOBAL,PWROILLBNXX01,30
GLOBAL,PWROILCANON01,30
GLOBAL,PWRCCGBOLXX01,30
GLOBAL,PWROCGCHNSD00,30
GLOBAL,PWRSPVIDNXX01,30
GLOBAL,PWROILURYXX01,30
GLOBAL,PWRWASINDSO01,30
GLOBAL,PWRCCGUSARA00,30
GLOBAL,PWRSPVBRAWE01,30
