REGION,TECHNOLOGY,VALUE
GLOBAL,PWRWOFBIHXX01,31.536
GLOBAL,PWRWAVBIHXX01,31.536
GLOBAL,PWRPETBIHXX01,31.536
GLOBAL,PWRGEOBIHXX01,31.536
GLOBAL,PWRCOGBIHXX01,31.536
GLOBAL,PWRCCGBLRXX00,31.536
GLOBAL,PWROCGBLRXX00,31.536
GLOBAL,PWRHYDBLRXX01,31.536
GLOBAL,PWROILBLRXX01,31.536
GLOBAL,PWRSPVBLRXX01,31.536
GLOBAL,PWROTHBLRXX01,31.536
GLOBAL,PWRCSPBLRXX01,31.536
GLOBAL,PWRBIOBLRXX01,31.536
GLOBAL,PWRCOABLRXX01,31.536
GLOBAL,PWRURNBLRXX01,31.536
GLOBAL,PWRWONBLRXX01,31.536
GLOBAL,PWRWASBLRXX01,31.536
GLOBAL,PWRWOFBLRXX01,31.536
GLOBAL,PWRWAVBLRXX01,31.536
GLOBAL,PWRPETBLRXX01,31.536
GLOBAL,PWRGEOBLRXX01,31.536
GLOBAL,PWRCOGBLRXX01,31.536
GLOBAL,PWRCCGBOLXX00,31.536
GLOBAL,PWROCGBOLXX00,31.536
GLOBAL,PWRHYDBOLXX01,31.536
GLOBAL,PWROILBOLXX01,31.536
GLOBAL,PWRSPVBOLXX01,31.536
GLOBAL,PWROTHBOLXX01,31.536
GLOBAL,PWRCSPBOLXX01,31.536
GLOBAL,PWRBIOBOLXX01,31.536
GLOBAL,PWRCOABOLXX01,31.536
GLOBAL,PWRURNBOLXX01,31.536
GLOBAL,PWRWONBOLXX01,31.536
GLOBAL,PWRWASBOLXX01,31.536
GLOBAL,PWRWOFBOLXX01,31.536
GLOBAL,PWRWAVBOLXX01,31.536
GLOBAL,PWRPETBOLXX01,31.536
GLOBAL,PWRGEOBOLXX01,31.536
GLOBAL,PWRCOGBOLXX01,31.536
GLOBAL,PWRCCGBRACN00,31.536
GLOBAL,PWROCGBRACN00,31.536
GLOBAL,PWRHYDBRACN01,31.536
GLOBAL,PWROILBRACN01,31.536
GLOBAL,PWRSPVBRACN01,31.536
GLOBAL,PWROTHBRACN01,31.536
GLOBAL,PWRCSPBRACN01,31.536
GLOBAL,PWRBIOBRACN01,31.536
GLOBAL,PWRCOABRACN01,31.536
GLOBAL,PWRURNBRACN01,31.536
GLOBAL,PWRWONBRACN01,31.536
GLOBAL,PWRWASBRACN01,31.536
GLOBAL,PWRWOFBRACN01,31.536
GLOBAL,PWRWAVBRACN01,31.536
GLOBAL,PWRPETBRACN01,31.536
GLOBAL,PWRGEOBRACN01,31.536
GLOBAL,PWRCOGBRACN01,31.536
GLOBAL,PWRCCGBRACW00,31.536
GLOBAL,PWROCGBRACW00,31.536
GLOBAL,PWRHYDBRACW01,31.536
GLOBAL,PWROILBRACW01,31.536
GLOBAL,PWRSPVBRACW01,31.536
GLOBAL,PWROTHBRACW01,31.536
GLOBAL,PWRCSPBRACW01,31.536
GLOBAL,PWRBIOBRACW01,31.536
GLOBAL,PWRCOABRACW01,31.536
GLOBAL,PWRURNBRACW01,31.536
GLOBAL,PWRWONBRACW01,31.536
GLOBAL,PWRWASBRACW01,31.536
GLOBAL,PWRWOFBRACW01,31.536
GLOBAL,PWRWAVBRACW01,31.536
GLOBAL,PWRPETBRACW01,31.536
GLOBAL,PWRGEOBRACW01,31.536
GLOBAL,PWRCOGBRACW01,31.536
GLOBAL,PWRCCGBRANE00,31.536
GLOBAL,PWROCGBRANE00,31.536
GLOBAL,PWRHYDBRANE01,31.536
GLOBAL,PWROILBRANE01,31.536
GLOBAL,PWRSPVBRANE01,31.536
GLOBAL,PWROTHBRANE01,31.536
GLOBAL,PWRCSPBRANE01,31.536
GLOBAL,PWRBIOBRANE01,31.536
GLOBAL,PWRCOABRANE01,31.536
GLOBAL,PWRURNBRANE01,31.536
GLOBAL,PWRWONBRANE01,31.536
GLOBAL,PWRWASBRANE01,31.536
GLOBAL,PWRWOFBRANE01,31.536
GLOBAL,PWRWAVBRANE01,31.536
GLOBAL,PWRPETBRANE01,31.536
GLOBAL,PWRGEOBRANE01,31.536
GLOBAL,PWRCOGBRANE01,31.536
GLOBAL,PWRCCGBRANW00,31.536
GLOBAL,PWROCGBRANW00,31.536
GLOBAL,PWRHYDBRANW01,31.536
GLOBAL,PWROILBRANW01,31.536
GLOBAL,PWRSPVBRANW01,31.536
GLOBAL,PWROTHBRANW01,31.536
GLOBAL,PWRCSPBRANW01,31.536
GLOBAL,PWRBIOBRANW01,31.536
GLOBAL,PWRCOABRANW01,31.536
GLOBAL,PWRURNBRANW01,31.536
GLOBAL,PWRWONBRANW01,31.536
GLOBAL,PWRWASBRANW01,31.536
GLOBAL,PWRWOFBRANW01,31.536
GLOBAL,PWRWAVBRANW01,31.536
GLOBAL,PWRPETBRANW01,31.536
GLOBAL,PWRGEOBRANW01,31.536
GLOBAL,PWRCOGBRANW01,31.536
GLOBAL,PWRCCGBRASE00,31.536
GLOBAL,PWROCGBRASE00,31.536
GLOBAL,PWRHYDBRASE01,31.536
GLOBAL,PWROILBRASE01,31.536
GLOBAL,PWRSPVBRASE01,31.536
GLOBAL,PWROTHBRASE01,31.536
GLOBAL,PWRCSPBRASE01,31.536
GLOBAL,PWRBIOBRASE01,31.536
GLOBAL,PWRCOABRASE01,31.536
GLOBAL,PWRURNBRASE01,31.536
