NAME,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
CHE_Hyd_Bassecourt17705,25.51291623,29.77352252,43.11327793,50.72150345,50.72150345,50.72150345,50.72150345,34.28773633,33.22258476,45.09141656,41.28730381,40.12070923
AUT_Hyd_St_Johann809,14.74430895,8.379859043,22.59379717,53.03708255,53.03708255,53.03708255,53.03708255,43.91470435,36.75469821,30.76150788,30.28417414,21.48001843
FRA_Hyd_Vaufrey10736,41.33669481,42.57126139,42.57126139,33.97186659,21.62620078,19.92335033,13.40994734,8.982536153,22.30734097,32.90758505,42.57126139,42.57126139
USA_Hyd_RockIsland27312,27.79469881,40.96334824,52.57049775,52.57049775,52.57049775,52.57049775,15.87524932,5.257049775,5.881649748,20.50769912,39.6620983,23.47454899
FRA_Hyd_Noirefontaine10063,41.33669481,42.57126139,42.57126139,33.97186659,21.62620078,19.92335033,13.40994734,8.982536153,22.30734097,32.90758505,42.57126139,42.57126139
AUT_Hyd_Rabenstein798,34.89840032,32.08743494,53.03708255,53.03708255,53.03708255,52.24152631,53.03708255,46.5135214,41.15677606,35.69395656,43.59648186,43.27825936
CHE_Hyd_BremgartenZufi17714,44.73636604,50.72150345,50.72150345,36.46876098,33.17186325,47.22171971,42.45389838,36.77309,35.55577392,38.49762112,50.72150345,50.72150345
AUT_Hyd_Pernegg796,27.0489121,50.43826551,53.03708255,41.15677606,34.63321491,45.98315057,53.03708255,48.26374512,50.06700593,53.03708255,53.03708255,39.77781191
CAN_Hyd_Edmundston3739,38.37791511,34.65981324,59.44715908,80,80,63.11362065,57.48482753,59.44715908,59.13731725,80,80,44.67803218
CHE_Hyd_Letten17776,44.73636604,50.72150345,50.72150345,36.46876098,33.17186325,47.22171971,42.45389838,36.77309,35.55577392,38.49762112,50.72150345,50.72150345
USA_Hyd_Cushman222730,52.57049775,52.57049775,40.71814313,20.85225321,9.815647703,7.080488946,5.44899074,5.257049775,6.312725084,18.11709446,52.57049775,52.57049775
AUT_Hyd_Urreiting819,34.89840032,32.08743494,53.03708255,53.03708255,53.03708255,52.24152631,53.03708255,46.5135214,41.15677606,35.69395656,43.59648186,43.27825936
AUT_Hyd_Leoben776,27.0489121,50.43826551,53.03708255,41.15677606,34.63321491,45.98315057,53.03708255,48.26374512,50.06700593,53.03708255,53.03708255,39.77781191
AUT_Hyd_Wallnerauunder825,10.44500095,5.303708255,14.07414873,35.94984508,53.03708255,53.03708255,53.03708255,53.03708255,43.9642131,34.43770017,26.47373698,14.98143567
USA_Hyd_Wynoochee29472,52.57049775,52.57049775,39.75134225,22.13723545,11.324131,7.458813124,5.501690147,5.257049775,9.122367654,25.07291992,52.57049775,52.57049775
FRA_Hyd_PontdeRoide10195,41.33669481,42.57126139,42.57126139,33.97186659,21.62620078,19.92335033,13.40994734,8.982536153,22.30734097,32.90758505,42.57126139,42.57126139
CHE_Hyd_AarauStadt17692,50.72150345,50.72150345,43.82337898,27.38961186,20.44076589,20.49148739,17.90469072,11.8181103,14.96284352,34.54134385,50.72150345,50.72150345
AUT_Hyd_KWJenbach759,21.85127801,24.82135463,43.91470435,53.03708255,53.03708255,53.03708255,53.03708255,46.67263265,38.55795901,31.02669329,38.45188485,29.38254373
AUT_Hyd_Mandling782,34.89840032,32.08743494,53.03708255,53.03708255,53.03708255,52.24152631,53.03708255,46.5135214,41.15677606,35.69395656,43.59648186,43.27825936
CHE_Hyd_Dietikon17727,44.73636604,50.72150345,50.72150345,36.46876098,33.17186325,47.22171971,42.45389838,36.77309,35.55577392,38.49762112,50.72150345,50.72150345
CAN_Hyd_NepisiguitFall4118,43.32723343,41.19404032,57.7603272,80,80,65.38535788,58.98577856,59.93890739,61.25513293,80,80,50.27145779
AUT_Hyd_Bischofshofen736,34.89840032,32.08743494,53.03708255,53.03708255,53.03708255,52.24152631,53.03708255,46.5135214,41.15677606,35.69395656,43.59648186,43.27825936
AUT_Hyd_Dionysen738,27.0489121,50.43826551,53.03708255,41.15677606,34.63321491,45.98315057,53.03708255,48.26374512,50.06700593,53.03708255,53.03708255,39.77781191
USA_Hyd_Cushman122729,52.57049775,52.57049775,40.71814313,20.85225321,9.815647703,7.080488946,5.44899074,5.257049775,6.312725084,18.11709446,52.57049775,52.57049775
